entry_date,exit_date,days_held,S_entry,S_exit,K1,K2,premium,max_profit,max_loss,pnl,pnl_pct,short_delta,sigma,exit_reason,signal
2019-05-16,2019-05-23,7,259.8780517578125,254.86,246.88,233.89,0.1731,0.1731,12.8169,-0.3563,-2.78,-0.0476,0.117,stop_loss,signal_A
2019-05-23,2019-05-31,8,254.8557281494141,248.65,242.11,229.37,0.2376,0.2376,12.5024,-0.5367,-4.29,-0.06,0.1257,stop_loss,signal_A
2019-06-04,2019-06-06,2,253.40147399902344,257.26,240.73,228.06,0.4593,0.4593,12.2107,0.2711,2.22,-0.0929,0.1485,profit_target,signal_A
2019-06-06,2019-06-10,4,257.25836181640625,261.03,244.4,231.53,0.4828,0.4828,12.3872,0.297,2.4,-0.095,0.1499,profit_target,signal_A
2019-06-10,2019-06-18,8,261.025146484375,264.12,247.97,234.92,0.5267,0.5267,12.5233,0.3823,3.05,-0.0995,0.1531,profit_target,signal_A
2019-06-18,2019-06-20,2,264.1235046386719,267.25,250.92,237.71,0.5205,0.5205,12.6895,0.3133,2.47,-0.098,0.152,profit_target,signal_A
2019-06-20,2019-06-28,8,267.2489013671875,265.95,253.89,240.52,0.4525,0.4525,12.9175,0.2937,2.27,-0.0889,0.1456,profit_target,signal_A
2019-06-28,2019-07-01,3,265.9527282714844,268.37,252.66,239.36,0.2154,0.2154,13.0846,0.1268,0.97,-0.0545,0.1219,profit_target,signal_A
2019-07-01,2019-07-03,2,268.36724853515625,271.22,254.95,241.53,0.2194,0.2194,13.2006,0.1435,1.09,-0.0548,0.1221,profit_target,signal_A
2019-07-03,2019-07-10,7,271.21728515625,271.04,257.66,244.1,0.1989,0.1989,13.3611,0.1333,1.0,-0.0509,0.1193,profit_target,signal_A
2019-07-10,2019-07-12,2,271.0448303222656,272.9,257.49,243.94,0.123,0.123,13.427,0.0762,0.57,-0.0363,0.1086,profit_target,signal_A
2019-07-12,2019-07-15,3,272.89654541015625,272.99,259.25,245.61,0.1045,0.1045,13.5355,0.0683,0.5,-0.0322,0.1053,profit_target,signal_A
2019-07-15,2019-07-18,3,272.9873046875,271.24,259.34,245.69,0.0516,0.0516,13.5984,0.0287,0.21,-0.0191,0.0938,profit_target,signal_A
2019-07-18,2019-07-23,5,271.2445068359375,272.33,257.68,244.12,0.0138,0.0138,13.5462,0.0107,0.08,-0.0069,0.0788,profit_target,signal_A
2019-07-23,2019-07-24,1,272.333740234375,273.61,258.72,245.1,0.0126,0.0126,13.6074,0.0067,0.05,-0.0063,0.0779,profit_target,signal_A
2019-07-24,2019-07-31,7,273.61358642578125,269.97,259.93,246.25,0.0131,0.0131,13.6669,-0.0454,-0.33,-0.0066,0.0783,stop_loss,signal_A
2019-07-31,2019-08-01,1,269.9737854003906,267.62,256.48,242.98,0.0254,0.0254,13.4746,-0.0572,-0.42,-0.0112,0.085,stop_loss,signal_A
2019-08-01,2019-08-05,4,267.6227722167969,257.62,254.24,240.86,0.0356,0.0356,13.3444,-1.5754,-11.81,-0.0146,0.0892,stop_loss,signal_A
2019-08-05,2019-08-06,1,257.6202087402344,261.23,244.74,231.86,0.2272,0.2272,12.6528,0.1148,0.91,-0.0578,0.1242,profit_target,signal_A
2019-08-06,2019-08-08,2,261.2326965332031,266.52,248.17,235.11,0.2972,0.2972,12.7628,0.1949,1.53,-0.0685,0.1317,profit_target,signal_A
2019-08-08,2019-08-14,6,266.51544189453125,257.69,253.19,239.86,0.3981,0.3981,12.9319,-1.7301,-13.38,-0.082,0.1409,stop_loss,signal_A
2019-08-14,2019-08-16,2,257.6928405761719,262.19,244.81,231.92,0.7637,0.7637,12.1263,0.3973,3.28,-0.1265,0.1727,profit_target,signal_A
2019-08-16,2019-08-22,6,262.185791015625,265.37,249.08,235.97,0.8373,0.8373,12.2727,0.436,3.55,-0.1324,0.1773,profit_target,signal_A
2019-08-22,2019-09-05,14,265.37176513671875,270.33,252.1,238.83,0.9204,0.9204,12.3496,0.6911,5.6,-0.1392,0.1827,profit_target,signal_A
2019-09-05,2019-09-12,7,270.32781982421875,273.48,256.81,243.3,1.3006,1.3006,12.2094,0.6952,5.69,-0.1694,0.2086,profit_target,signal_A
2019-09-12,2019-09-19,7,273.4774475097656,273.29,259.8,246.13,1.2749,1.2749,12.3951,0.6653,5.37,-0.1662,0.2057,profit_target,signal_A
2019-09-19,2019-09-26,7,273.286865234375,270.83,259.62,245.96,0.8543,0.8543,12.8057,0.5294,4.13,-0.1307,0.176,profit_target,signal_A
2019-09-26,2019-10-02,6,270.828369140625,262.68,257.29,243.75,0.2972,0.2972,13.2428,-0.9837,-7.43,-0.0669,0.1305,stop_loss,signal_A
2019-10-02,2019-10-04,2,262.6761779785156,268.41,249.54,236.41,0.3417,0.3417,12.7883,0.2463,1.93,-0.0749,0.136,profit_target,signal_A
2019-10-04,2019-10-11,7,268.4119567871094,270.17,254.99,241.57,0.4084,0.4084,13.0116,0.3297,2.53,-0.083,0.1416,profit_target,signal_A
2019-10-11,2019-10-15,4,270.1718444824219,272.54,256.66,243.15,0.2403,0.2403,13.2697,0.1414,1.07,-0.0581,0.1244,profit_target,signal_A
